node_id,name,jurisdiction,jurisdiction_description,countries,sourceID,valid_until,note,matched_term
10000239,MARLIN GROUP INC.,SAM,Samoa,Seychelles,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10019008,BLUE MARLIN LIMITED,SEY,Seychelles,Estonia,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10019516,PANTALONE LTD.,SEY,Seychelles,Monaco,Panama Papers,The Panama Papers data is current through 2015,,Talon
10021436,GREAT MARLIN FINANCE S.A.,SEY,Seychelles,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10022448,MARLIN INDUSTRY INC.,SEY,Seychelles,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10027178,"Dong Guan ShenRong Industrial Co., Ltd",SEY,Seychelles,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,,Enron
10037650,"""METALON"" LTD.",NIUE,Niue,Russia,Panama Papers,The Panama Papers data is current through 2015,,Talon
10040650,TALON ENTERPRISES LIMITED,NIUE,Niue,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,Talon
10053942,JEDI INVESTMENTS BUSINESS CORP.,PMA,Panama,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,JEDI
10064605,SOUTHAMPTON GROUP LTD.,BVI,British Virgin Islands,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,Southampton
10067803,SOUTHAMPTON FINANCIAL GROUP LTD.,BVI,British Virgin Islands,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,Southampton
10068507,NETALONE.COM BVI) LIMITED,BVI,British Virgin Islands,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,,Talon
10082521,JEDI LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,JEDI
10083644,KINMARLIN MANAGERS LTD.,BVI,British Virgin Islands,Gibraltar,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10133995,KIVA RAPTOR INC,BVI,British Virgin Islands,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,Raptor
10084588,MARLIN STAR ASSETS CORP.,BVI,British Virgin Islands,Luxembourg,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10093250,SOUTHAMPTON PROPERTIES LIMITED,BVI,British Virgin Islands,Jordan,Panama Papers,The Panama Papers data is current through 2015,,Southampton
10097170,CATALONE TRADING LIMITED,BVI,British Virgin Islands,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,Talon
