entity_name,entity_type,email_count,amounts_mentioned,sample_context
Ken Lay,executive,6062,"2 | 8 | 500,000 | 101 | 18 | 1 | 1.81 | 35.20 | 6.97 | 1.01 | 65 | 393 | 292 | 350 | 450 | 35 | 298 | 737 | 595 | 7 | 4 | 3 | 750 | 1.11 | 20.65 | 5.40 | 150 | 60 | 880 | 100 | 543 | 66 | 550 | 30 | 6",Ken Lay and Jeff Skilling on CNNfn Ken Lay and Jeff Skilling were interviewed on CNNfn to discuss the succe
Jeff Skilling,executive,4044,3.01 | 3.00 | 2.99 | 1 | 6.97 | 2 | 1.01 | 65 | 393 | 292 | 1.64 | 35 | 298 | 737 | 595 | 750 | 1.11 | 20.65 | 5.40 | 4 | 150 | 60 | 880 | 3 | 915 | 100 | 543 | 66 | 1.40 | 14.10 | 14 | 300 | 48 | 8 |,Ken Lay and Jeff Skilling on CNNfn Ken Lay and Jeff Skilling were interviewed on CNNfn to discuss the succession  of Jeff to
Greg Whalley,executive,3094,"896.00 | 35 | 1.01 | 3 | 1 | 690 | 550 | 30 | 60 | 40 | 25 | 100 | 111,370 | 662,676,860 | 140 | 110 | 25, | 1,301,684 | 1,276,000, | 217,213 | 5 | 225 | 5, | 20, | 2 | 406 | 201,964,905.64 | 19,737,9","Enron@ENRON, Rick Buy/HOU/ECT@ECT, David W Delainey/HOU/ECT@ECT,  John J Lavorato/Corp/Enron@Enron, Greg Whalley/HOU/ECT@ECT, Mark  Frevert/NA/Enron@Enron, Karen S Owens@ees@EES, Thomas E White/HOU/EES@EES,  Mart"
Mark Frevert,executive,2496,"150 | 60 | 880 | 3 | 1 | 40 | 38.50 | 119 | 30 | 2 | 42 | 44 | 18 | 5 | 25, | 1,301,684 | 1,276,000, | 217,213 | 500,000 | 102 | 38.16 | 90 | 28.20 | 37.76 | 1.41 | 6 | 4 | 1.33 | 84 | 42.93 | 40.25 |","ECT@ECT,  Carl Tricoli/Corp/Enron@Enron, Greg Wolfe/HOU/ECT@ECT cc: Billy Lemmons/Corp/Enron@ENRON, Mark Frevert/NA/Enron@Enron  Subject: Executive Impact and Influence Course  Folks, you are the remaining office"
Kenneth Lay,executive,2008,"500,000 | 101 | 18 | 1,250 | 1,450 | 1,451 | 1 | 1.01 | 65 | 393 | 292 | 350 | 450 | 35 | 298 | 737 | 595 | 7 | 4 | 3 | 750 | 1.11 | 2 | 20.65 | 5.40 | 150 | 60 | 880 | 915 | 690 | 15 | 550 | 30 | 1.1","2001  07:18 AM --------------------------- From: Steven J Kean@ENRON on 01/14/2001 01:52 PM CST To: Kenneth Lay/Corp/Enron@ENRON, Jeff Skilling/Corp/Enron@ENRON, Mark  Koenig/Corp/Enron@ENRON, Rick Buy/HOU/ECT@E"
Kevin Hannon,executive,1099,"600 | 5,000 | 100 | 4.00 | 5 | 2 | 1 | 57 | 30 | 350 | 80 | 50, | 84 | 42.93 | 40.25 | 102 | 8 | 520 | 72 | 75 | 54 | 203 | 38.00 | 30.00 | 950 | 350,000 | 1, | 250,000 | 50,00 | 700,000, | 50,000 | 4","OU/ECT@ECT, Cliff Baxter/HOU/ECT@ECT, John J  Lavorato/Corp/Enron@Enron, John Sherriff/LON/ECT@ECT, Kevin Hannon/Enron  Communications@Enron Communications, Kimberly Hillis/HOU/ECT@ect, Kevin M  Presto/HOU/ECT@EC"
LJM,spe,1024,20 | 29 | 1.01 | 1 | 1.64 | 350 | 450 | 35 | 298 | 737 | 595 | 7 | 4 | 3 | 750 | 1.11 | 2 | 20.65 | 5.40 | 150 | 60 | 880 | 915 | 690 | 1.40 | 14.10 | 14 | 96 | 113 | 500 | 9 | 847 | 13 | 12 | 63 | 75,"hird quarter earnings.  We have also been the subject of media reports discussing transactions with LJM, a related party previously managed by our chief financial officer.  Today, we announced that we re"
Richard Causey,executive,835,"4 | 291 | 113 | 18 | 5 | 10,000 | 15 | 3 | 1 | 1,000,000 | 225 | 5, | 20, | 51.51 | 4.38 | 59.40 | 53.43 | 84.87 | 62.37 | 84 | 42.93 | 40.25 | 500,000 | 114,100,000 | 212,200.00 | 10, | 50 | 100 | 2 ","OU/ECT on 11/24/2000  10:13 AM ---------------------------   Bryan Seyfried 11/23/2000 01:31 AM To: Richard Causey/Corp/Enron@ENRON, Rick Buy/HOU/ECT@ECT, John  Sherriff/LON/ECT@ECT cc: Michael R Brown/LON/ECT@ECT,"
Raptor,spe,778,"7 | 4 | 3 | 1,000,000 | 15,000 | 10,000 | 19.28 | 611,000 | 10 | 38 | 56 | 20 | 163,337,947 | 5 | 225 | 5, | 20, | 30 | 25 | 12 | 13 | 650 | 150 | 300 | 500 | 408 | 608 | 800 | 550 | 178 | 6 | 15 | 1,","lved renegotiating individual deals.=20 In September 2000, the partnership invested $30 million in ""Raptor III,"" wh= ich involved writing put options committing LJM2 to buy Enron stock at a se= t price for"
Jeffrey Skilling,executive,649,"448 | 1.81 | 35.20 | 1 | 1.01 | 65 | 750 | 1.11 | 20.65 | 5.40 | 4 | 150 | 60 | 880 | 100 | 543 | 66 | 550 | 30 | 2 | 9 | 10.41 | 3 | 579 | 1,652 | 40 | 25, | 2.38 | 5 | 40, | 3.94 | 500 | 847 | 13 | ","trading in 2000 when it bought London-based MG Plc, the largest copper marketer, for $448 million. Jeffrey Skilling, who resigned as Enron's chief executive in August, told investors in July to expect ``great things"
Marlin,spe,640,"750 | 1.01 | 1.11 | 3 | 2 | 20.65 | 5.40 | 4 | 1 | 150 | 60 | 880 | 915 | 100 | 543 | 66 | 690 | 1.40 | 14.10 | 14 | 8 | 800 | 50 | 30 | 16 | 2000 | 161,000 | 42,000 | 80,000 | 102 | 404 | 289 | 475 |","g@ENRON 	10/24/00 08:52 PM 		 		 To: Brian Hoskins/Enron Communications@ENRON COMMUNICATIONS 		 cc: Marlin Gubser/HOU/ECT@ECT 		 Subject: Re: Implementation issue on IE5.0/5.5  Brian,  We are not good to go"
Andy Fastow,executive,539,"150 | 60 | 880 | 100 | 543 | 66 | 30 | 9,000,000 | 7 | 165 | 250 | 11 | 74 | 77 | 4 | 1 | 2.96 | 1.01 | 3 | 10,000 | 15 | 9 | 600 | 586 | 2 | 618 | 292 | 80 | 353 | 50 | 31 | 90 | 603 | 270 | 44 | 6 |",orough understanding of Enron.  He is already on the job and hard at work on the issues before us.  Andy Fastow will be on a leave of absence from the company.    Jeff had been serving as chairman and CEO of Enr
Andrew Fastow,executive,501,1.01 | 1 | 1.64 | 350 | 450 | 35 | 298 | 737 | 595 | 7 | 4 | 3 | 750 | 1.11 | 2 | 20.65 | 5.40 | 150 | 60 | 880 | 915 | 100 | 543 | 66 | 690 | 550 | 30 | 9 | 10.41 | 1.40 | 14.10 | 14 | 8 | 500 | 1.79,"facing questions over agreements with two limited partnerships run by its chief financial officer, Andrew Fastow, the Wall Street Journal reported.       Fastow set up LJM Cayman LP and LJM2 Co-Investment LP with"
JEDI,spe,434,"3 | 1 | 96 | 113 | 28.99 | 39.98 | 19.99 | 5 | 6 | 4 | 100 | 150 | 130 | 300 | 25 | 7 | 9 | 2.65 | 11.16 | 35 | 2 | 2.96 | 60 | 710.20 | 7,791.66 | 1,831.09 | 10,968.88 | 3,656.29 | 20 | 12 | 39 | 5.3",/7/1997	Yes		 HGK Enterprises LP Inc.	7/29/1997	Yes	 ECT Eocene Enterprises III Inc.2/20/1998Yes			 Jedi Capital II LLC	9/4/1998	Yes	 E.C.T. Coal Company No. 12/31/1998	Yes		 ES Power 3 LLC	1/7/1999	Yes
Osprey,spe,432,"750 | 3 | 2 | 20.65 | 5.40 | 4 | 1 | 150 | 60 | 880 | 915 | 100 | 543 | 66 | 690 | 1.40 | 14.10 | 14 | 8 | 800 | 50 | 30 | 65 | 173 | 94 | 300 | 109 | 34 | 18 | 640 | 200 | 16 | 15 | 500,000 | 75 | 17","s by several entities -- known as the Marlin Water Trust II, the Marlin Water Capital Corp. II, the Osprey Trust and Osprey I, Inc. The notes are coming due during the next 20 months. Mr. Glisan said assets"
Ben Glisan,executive,404,"750 | 3 | 2 | 20.65 | 5.40 | 4 | 30 | 8 | 1 | 2.96 | 60 | 149 | 48 | 100 | 130 | 150 | 50 | 700,000, | 50,000 | 1,028,000.00 | 10 | 13 | 693 | 829 | 190 | 9 | 600 | 90 | 44 | 500 | 8.85 | 7 | 586 | 80","g additional Enron shares, diluting the position of current shareholders.  However, Enron Treasurer Ben Glisan said in an interview yesterday that the company believes it can repay about $3.3 billion in notes t"
LJM2,spe,286,"1.01 | 1 | 1.64 | 350 | 450 | 35 | 298 | 737 | 595 | 7 | 4 | 3 | 750 | 1.11 | 2 | 20.65 | 5.40 | 150 | 60 | 880 | 213 | 76 | 127 | 100 | 80 | 50, | 9 | 2.65 | 11.16 | 16 | 24 | 12 | 1.50 | 9.67 | 30 |","ial officer, Andrew Fastow, the Wall Street Journal reported.       Fastow set up LJM Cayman LP and LJM2 Co-Investment LP with the approval of Enron's board. The partnerships have engaged in billions of d"
Whitewing,spe,269,35 | 1.01 | 298 | 737 | 595 | 750 | 1.11 | 3 | 2 | 20.65 | 5.40 | 4 | 150 | 60 | 880 | 1 | 915 | 690 | 1.50 | 9.67 | 92 | 10 | 243 | 352 | 9.15 | 1.17 | 7.89 | 700 | 11.97 | 800 | 200 | 70 | 106 | 151,". At least one of the companies bought and sold Enron assets, including foreign power plants.       Whitewing Management, which lists Fastow as its managing member, received $807 million from the sale of Enron"
