transaction_id,date,amount,currency,sender_account_id,sender_name,receiver_account_id,receiver_name,description,transaction_type
054B443F-74C,1999-01-01,1234874.68,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Equipment lease payment,wire_transfer
DBCD9288-665,1999-01-01,214260.21,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Fuel supply agreement,wire_transfer
75F5F9F3-443,1999-01-01,1775650.46,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
5F6AB8C4-42C,1999-01-02,445429.79,USD,ACC-ENR-001,Enron Corp,ACC-EXT-010,EOTT Energy Partners,IT infrastructure services,wire_transfer
7795E2E0-C44,1999-01-02,47341.94,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Gas supply contract payment,wire_transfer
ACB91F8A-9EF,1999-01-02,1527396.49,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Power purchase agreement,wire_transfer
E2E9F4F8-31C,1999-01-03,1257353.8,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Fuel supply agreement,wire_transfer
0813D9B0-251,1999-01-03,195448.03,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
A646E9D0-96F,1999-01-05,374323.49,USD,ACC-EXT-004,Barclays PLC,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
2F1FA859-62E,1999-01-05,1805861.3,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Regulatory compliance fee,wire_transfer
7979EFAE-D66,1999-01-08,1458437.7,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Interconnection fee,wire_transfer
7F16A4E3-F05,1999-01-09,1430218.01,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Equipment lease payment,wire_transfer
7B2F2CD6-E0B,1999-01-12,495529.03,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
9411FC3D-807,1999-01-12,12000000,USD,ACC-ENR-001,Enron Corp,ACC-SPE-003,Chewco Investments L.P.,Equity contribution,wire_transfer
404067EC-BFA,1999-01-13,1018312.36,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Pipeline maintenance services,wire_transfer
61B9D39C-FC7,1999-01-13,785108.72,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Capacity reservation charge,wire_transfer
A047478F-908,1999-01-13,1047729.14,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Pipeline maintenance services,wire_transfer
83147503-9EF,1999-01-14,1523359.62,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Regulatory compliance fee,wire_transfer
694B8BC9-8E3,1999-01-14,41104.35,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Gas supply contract payment,wire_transfer
D953BA92-B4C,1999-01-15,28918.09,USD,ACC-ENR-001,Enron Corp,ACC-EXT-002,JP Morgan Chase,Capacity reservation charge,wire_transfer
D94AD185-ED2,1999-01-15,1160194.42,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Regulatory compliance fee,wire_transfer
FADA6C57-545,1999-01-16,459224.43,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Power purchase agreement,wire_transfer
8E5CDC25-BE2,1999-01-16,343115.67,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
